,Datetime,Tweet Id,Text,Username
0,2021-05-30 18:13:30+00:00,1399066451500175363,On 26 May I was travel from Hyderabad to wanparthy to deverkadra for my reporting work... I was surprised to saw roads it's very clear and even not a single patch in 300 k/m..... I thanks to KTR sir to make this kind of roads for people of Telangana.... #Jay_Telangana https://t.co/FHS81tYsun,syedshahabas
1,2021-05-30 16:37:51+00:00,1399042383031902208,@arvindkumar_ias sir please create cycling tracks and walking tracks in Hyderabad.  Our roads are not pedestrian friendly.  Not all are endowed with resources to buy a vehicle and especially the poor and middle class elderly citizens are at a risk,kranthi_sarma
2,2021-05-30 11:36:20+00:00,1398966504821989382,"Roads Wear Deserted Look During 19th lockdown in Uppal | Hyderabad | T News
https://t.co/RtpehGYybd",TNewsTelugu
3,2021-05-30 07:12:19+00:00,1398900062520967168,"@umanallati7 Hyderabad city lo ne many areas untai

X roads - Ninne Pelladatha
Dilsukhnagar - Pokiri
Kukatpally - Pokiri
Prasads Multiplex - Pokiri",898SAG
4,2021-05-30 05:26:51+00:00,1398873518285099010,"@KTRTRS @SonuSood @MekapatiGoutham @KTRoffice 

Hi sir,
My uncle was paralyzed with a clot in brain. His name is Venkat Reddy and he is a farmer and he had two daughters. We had admitted in shanmukha vyshanavi hospital at Chaitanyapuru X roads in Hyderabad.",harishchinna143
5,2021-05-30 04:10:40+00:00,1398854346461175810,"9:30am. People can go out and get groceries from 6-10am in Hyderabad. But the cops have the audacity to block the roads just because some minister is traveling. Oh yes, later if the cops see a vehicle on roads, they seize it👀👌 #hyderabadlockdown #COVID19India https://t.co/pdm9GSzD41",akki_heracross
6,2021-05-29 16:24:29+00:00,1398676632328556549,"Ilaanti Slogan Mee Bhathukki epudaina offline lo chant chesarentra 
Ayina Slogan ni mingeyadam entra 💦

VS : #VakeelSaab FDFS , Sandhya Theatres , RTC X Roads , Hyderabad.

#BabulakeBabuKalyanBabu  ||  @PawanKalyan https://t.co/MDFndDKD9S",Krishna4PK_VJ
7,2021-05-29 15:34:19+00:00,1398664004080263170,HYDERABAD ROADS. https://t.co/w80ODbuLfz https://t.co/Fn8zlmXCNb,Vineethhhhhhh
8,2021-05-29 13:59:22+00:00,1398640111818997764,"@HarishKumarDaga @ZC_Khairatabad @Director_EVDM @TelanganaToday @Nabinder_B @fmsaleem @krishna0302 @CoreenaSuares2 @Bachanjeet_TNIE @vangala5665 @PVSIVAKUMAR1 @seshagiribv @rahulvpisharody @umasudhir Pls let's all focus on metro pillars advertisement boards too which @ltmhyd are keeping its advertising and it's dangerous to regular commuters.

There are many advertising hoardings on roads, which also needs immediate action.

#Hyderabad",UNTGAPS
9,2021-05-29 13:27:54+00:00,1398632193354698753,@Arpita0019 @HiHyderabad Riding autorickshaw in Hyderabad city roads has its own fun🤘,SaifAliOP
10,2021-05-29 13:27:39+00:00,1398632128229744644,"RTC X Roads, Hyderabad All Time 1st Week Records :

#BM - 30,47,330/- (Record)
#SVSC - 34,96,584/- (Record)
#Aagadu - 39,72,295/- (Top2)
#SRM - 74,21,392/- (NonBB)
#Maharshi - 92,12,430/- (NonBB2)
#SLN - 1,04,59,230/- (Top3)

#BabulakeBabuMaheshBabu 
#DontMessWithSSMBFans https://t.co/JpOfCrkKmW",OngoleDHFMS
11,2021-05-29 12:54:35+00:00,1398623806290157571,"RTC X Roads, Hyderabad All Time 1st Week Records :

#BM - 30,47,330/- (Record)
#SVSC - 34,96,584/- (Record)
#Aagadu - 39,72,295/- (Top2)
#SRM - 74,21,392/- (NonBB)
#Maharshi - 92,12,430/- (NonBB2)
#SLN - 1,04,59,230/- (Top3)

#BabulakeBabuMaheshBabu 
#DontMessWithSSMBFans",AakashMBfan
12,2021-05-29 12:46:26+00:00,1398621756353486848,@Arpita0019 @HiHyderabad I will post a video Tommorw Hyderabad real busy roads see mam Tommorw at 7:01,knroffical
13,2021-05-29 11:17:43+00:00,1398599429574205441,"HYDERABAD

#Oxygen #beds, #ICU , #Ventilator #bed, Non-covid bed

Name: Supraja Hospital
Phone: 09182327901
Location: X roads, Nagole, #Hyderabad, #Telangana 500068

#bedsavailable #COVID19 #Covid19IndiaHelp  @parmind71319899 @DYOLSINGH @Ajaykumar00009 @japneetkaur77",Jasleen23910099
14,2021-05-29 09:29:19+00:00,1398572150462709762,"HYDERABAD

#Oxygen #beds, #ICU , #Ventilator #bed, Non-covid bed

Name: Supraja Hospital
Phone: 09182327901
Location: X roads, Nagole, #Hyderabad, #Telangana 500068

#bedsavailable #COVID19 #Covid19IndiaHelp https://t.co/BbgX7szqzA",covidinfoleads
15,2021-05-29 08:32:10+00:00,1398557769758765058,"@TelanganaDGP 
Sir not only ac guard's all over Hyderabad colony internal roads gathering and creating nuesance so order to Hyderabad and cyberabad and rachakonda limits maintain strong law and order",charymirror1
16,2021-05-29 06:18:49+00:00,1398524209240821760,"What I mean when I say #Hyderabad roads are a beauty! 😍 

Took this video while coming back home after getting vaccinated! #hyderabadlockdown 
@HiHyderabad https://t.co/1mZ00lMAAS",Arpita0019
17,2021-05-29 06:09:43+00:00,1398521917905248256,"@HyderabadDeputy @kadir_dada Sir, these actions are appreciable but I would say; Dust environment in Hyderabad especially in Qasimabad after roads being reconstructed has put people's lives at risk.
Due to dust and environmental issues, people are suffering from many dangerous diseases of the lungs and",aminwrites99
18,2021-05-29 05:20:48+00:00,1398509607174033408,"@nildeoreIAS @RCD_Bihar @NitishKumar @biharCMO I m resident at Nai bazar chhapra, but working at hyderabad,from last 4years m watching drainage has been covered not corrected.water supply introduced, road broken. Every year water has been logging bcz of bad condition of roads.",fatinkhan35
19,2021-05-28 18:10:58+00:00,1398341039421759493,"@SGattewar_NGP Bhai utna door kyu jaate ho? Hyderabad aajao na? Visa nahi lagta hai, aur roads bhi sahi hai?",btarunr
20,2021-05-28 15:00:06+00:00,1398293007426678787,"Oxygen beds, ICU , Ventilator bed, Non-covid bed

Name: Supraja Hospital

Ph : 09182327901 

Location: X roads, Nagole, Hyderabad, Telangana 500068

Verified at 8:25 28/05

#Telangana #Covid19IndiaHelp @JanBharat_Org",vinay_choudhary
21,2021-05-28 14:58:56+00:00,1398292712789450762,"Oxygen beds, ICU , Ventilator bed, Non-covid bed

Name: Supraja Hospital

Ph : 09182327901 

Location: X roads, Nagole, Hyderabad, Telangana 500068

Verified at 8:25 28/05

#Telangana #Covid19IndiaHelp",smitd30
22,2021-05-28 13:18:58+00:00,1398267557648363520,"#Rajakumarudu 
RTC X Roads Hyderabad - Devi70MM 102 Days Running Closing Gross 43,72,720 /-
#SarkaruVaariPaata 
Thanks Bro Picture Icchinandhuku @finleh39 https://t.co/zzdhS9ARTi",satishkotagiri1
23,2021-05-28 11:59:58+00:00,1398247674525097984,"@KTRoffice since 3 years requesting for drainage line n connectivity roads no action taken till today please do the needful B Satyanandam 9550737964 4-11/33PNT/P3,P&amp;T Colony Welfare Association,Anmagal V Hayathnagar M Hyderabad 501505",satyanandambar3
