,Datetime,Tweet Id,Text,Username
0,2021-05-30 23:54:43+00:00,1399152322148638722,"When you miss fajr salah in the morning
And your whole day is ruined 💔 https://t.co/5ztMaCm08f",Hyderabad_qasme
1,2021-05-30 23:51:20+00:00,1399151473351561217,"The amazing Chris Ryan joins us today to talk about Hyderabad, India. What an ep. What a guest. https://t.co/2StUmu3Fsc",commnoticeboard
2,2021-05-30 23:49:27+00:00,1399150997956562949,"@srivatsayb @seethakkaMLA @INCTelangana @RahulGandhi @priyankagandhi @INCIndia @IYC @IYCTelangana @INCTelangana - Your presence in #Telangana has to be made strong and your candidates should especially be youth to lead their respective constituencies.

Coming last days of elections rallies won't be helpful to win assembly or loksabha.

#Hyderabad #Secunderabad #India",UNTGAPS
3,2021-05-30 23:39:34+00:00,1399148509564002308,"@TelanganaCOPs sir, we are residents of Hyderabad, in April came to Andhra Pradesh for medical emergency of immediate family member. Can we enter into telangana in this period?",jayasarma2
4,2021-05-30 23:34:52+00:00,1399147327185514496,"The waning #Moon with #Saturn above, and  bright #Jupiter tailing it.

0500 hrs, 31 May 2021, Hyderabad https://t.co/ma2hzEi2iN",PankajSethi00
5,2021-05-30 23:30:25+00:00,1399146208799584256,Warehouse Job Openings Hyderabad - https://t.co/lHiY06Y7xs https://t.co/IaS4CZjgBs,gulfcareers2020
6,2021-05-30 23:27:28+00:00,1399145467494080512,"@HamdanMohammed Sir From Hyderabad to My Village 200 Kilometres, 

Sir We will Remember your Good Name and Outstanding help in My Hearts for Hundred Years

Sir I am Saluting to Your Foots Kindly Consider My Request and Construct a Small House for Poor Farmer Family",jammu2001
7,2021-05-30 23:22:08+00:00,1399144121839742980,"@HamdanMohammed Good Morning Sir

This is Jammanna from Hyderabad, India
Congratulations Sir for Borning Twins",jammu2001
8,2021-05-30 23:20:38+00:00,1399143747296784384,"Renaming Necklace Road of #Hyderabad after the RSS mole in Congress, P.V. Narasimha Rao  (known to be facilitator in the Babri masjid demolition conspiracy) is unacceptable to #Hyderabadis 
@KTRTRS @TelanganaCMO",ishareef639
9,2021-05-30 23:16:04+00:00,1399142595419275266,Nice @KTRTRS sir where is social distance @CYBTRAFFIC @TelanganaDGP @cyberabadpolice rules are only for public ? “Do gaj Ki duri” #Hyderabad https://t.co/6bIRuhDM5K https://t.co/330qiDqdX6,ArhamAdilINC
10,2021-05-30 23:07:52+00:00,1399140534594138115,@PANDARAJATH @gsaikumar15 @Raghvarma @SonuSood @KTRTRS @TelanganaCOPs He went to Hyderabad's one of the most expensive hospitals.... I doubt the state will keep quiet about that luxury!,Rishabr5
11,2021-05-30 23:07:04+00:00,1399140332516765727,"@ChandanKumarBu7 @gsaikumar15 @SonuSood It's the most expensive layout of Hyderabad! Banjara hills!

Why did he have to go there only? Just concerned! Bills are expensive cause he went to city's top expensive hospital!",Rishabr5
12,2021-05-30 23:06:35+00:00,1399140211599151106,"developer: Skills Set Required: ab initio, unix, abinitio, teradata, etl. abinitio developer in hyderabad Abinitio DeveloperExp- B1/C1Location- M/P/H/B/C skills abinitio qualification B.E/B.Tech ,... https://t.co/ESy6eaRErF",freshers_home
13,2021-05-30 23:06:32+00:00,1399140199083384837,"Job Opportunity | Plsql Developer | Product Company: Skills Set Required: sql, sql server, ssis, ssrs, database administration. PLQL Developer Exp: 6 10 years Location: Hyderabad(WFH option available) Job Functions: Designs, develops, implements and… https://t.co/OPQglR1jkv",freshers_home
14,2021-05-30 23:01:19+00:00,1399138884987064321,"Hyderabad: NIMS bed sold for Rs 1 lakh, middleman in ‘custody’ | Hyderabad News – Times of India https://t.co/oZe7npjbYr",nandkis09458351
15,2021-05-30 22:57:20+00:00,1399137881722081281,The Hyderabad couple is ‘roadschooling’ their twin daughters https://t.co/xJ9sdMAmoa,sahunewsbox9
16,2021-05-30 22:57:00+00:00,1399137798343454720,"Technical Solutions Engineer Job For 3-4 Year Exp In Hewlett Packard Enterprise Hyderabad / Secunderabad, India – 3337210  
Customer Solution Centers are made up of teams that Click to know more. https://t.co/tl88qFHsUT",getjobsnotific1
17,2021-05-30 22:40:28+00:00,1399133639611351049,Hyderabad Cyber Crime Police warn people against Google searching customer care numbers | The News Minute https://t.co/vb1DSnO46x,LEOVSN
18,2021-05-30 22:36:04+00:00,1399132530087841792,"@swastika24 @milaapdotorg Hello mam,
I have been working on this case since many days 
The patient first needed only an ECMO but due to deteriorating conditions now need to go for a lung transplant to Hyderabad or Chennai from BBSR and family doesn't have funds
I can send you the reports",Pratiks74026334
19,2021-05-30 22:26:32+00:00,1399130130468028416,"Imágenes del mundo: grafiti con el Covid en Hyderabad, India. https://t.co/RaJOcWmOno",fmamericanoti
20,2021-05-30 22:23:48+00:00,1399129443512197127,"#Hyderabad
Need #Blood Type :  B-negative
At : AIG
Blood Component : Need B-ve plasma from #Covid19 recovered patient
Number of Units : 2
Primary Number : 7064220086
Secondary Number : 7978082228
Via: @PriyansuSankar
#BloodMatters",BloodMattersorg
21,2021-05-30 22:12:52+00:00,1399126691797209088,"Telangana: Asaduddin Owaisi says lockdowns are not a strategy to combat Covid-19 | Hyderabad News - Times of India

@asadowaisi https://t.co/vZrnNhgNtf",SmTauseef
22,2021-05-30 22:11:30+00:00,1399126345922142208,"Moving Guide From Noida Packers- Leading Packers And Movers In Hyderabad When you move to Hyderabad, you enjoy the unique advantage of moving to two https://t.co/hDSEl5ov7K #homepackersandmovers",palinterest
23,2021-05-30 22:10:42+00:00,1399126146629963786,"Sofa-cum bed with lounger is available for Rs 45000, anywhere in Hyderabad. Book now.

Contact us on: 8106526600,8106524400 https://t.co/3JkK7TcygY",FurnitureTarun
24,2021-05-30 22:01:33+00:00,1399123843986251781,@debashis2468 R u wanted to come to Hyderabad...Bcoz my cab is going to odisha from Hyderabad....If any interested kindly contact 8455045200,prayagaprakash
25,2021-05-30 22:01:20+00:00,1399123790030946310,"@sanjg2k1 5 more co got license &amp; will start from July. government gave licence to Natco Pharmaceuticals of Hyderabad, Gujarat-based Alembic Pharmaceuticals, Gufic Biosciences and Lyka,  Emcure Pharmaceuticals. These companies will start producing 1,11,000 vials per month from July 2021.",cmc_pankaj
26,2021-05-30 21:53:46+00:00,1399121883837001731,"@TsspdclCorporat 110222548
2-69/48/28 Rajesh nagar colony, chengicherla, boduppal Hyderabad 500092",Ram60401095
27,2021-05-30 21:52:39+00:00,1399121604832120835,This is Hyderabad https://t.co/jJ8tvrEl1g,ayyyyjiyo
28,2021-05-30 21:52:09+00:00,1399121477857853443,Thread - a must read on #Bhagyanagar a k a Hyderabad https://t.co/JecUvM5MV3,Maarthanda1
29,2021-05-30 21:51:17+00:00,1399121261217947655,Must read thread @BharadwajSpeaks elucidates how the Hindu history of #Bhagyanagar was erased gradually to create Hyderabad https://t.co/9uvV59vjlZ,Maarthanda1
